Usage (kWh),TimeOfDay,VoltageFluctuations,NumberOfResidents,ApplianceCount,IndustrialAreaNearby,PreviousTheftHistory,AverageDailyUsage,BillPaymentDelay (days),UnusualUsageSpike,Theft
272,1,3,6,6,1,1,17,41,0,0
421,1,2,5,11,0,1,46,83,1,1
192,1,1,10,14,1,1,31,12,0,0
325,4,2,6,21,1,1,30,53,0,0
439,3,2,6,12,1,0,13,36,1,0
464,4,1,9,25,1,0,35,87,1,1
61,3,1,4,7,0,0,43,60,1,0
293,4,1,8,18,1,1,39,21,1,1
64,2,1,3,6,0,1,49,66,0,0
481,4,0,7,17,1,1,29,30,1,1
164,4,3,3,15,0,0,27,74,1,1
456,1,3,1,6,0,1,30,78,1,1
450,2,1,9,21,1,0,34,6,1,0
390,1,2,8,20,0,0,10,78,0,0
380,1,1,9,19,0,0,49,66,0,0
432,3,0,3,13,0,0,42,30,1,0
244,2,3,9,12,1,0,47,37,1,0
474,4,2,10,11,1,1,38,54,1,1
112,1,1,4,14,0,1,46,2,1,1
335,3,1,3,11,1,1,22,55,0,0
461,2,1,7,9,0,0,42,85,1,1
450,3,3,7,25,1,0,10,35,1,0
319,4,2,3,18,1,1,30,42,0,0
485,2,2,6,13,1,1,32,29,1,1
266,3,1,9,15,1,1,44,32,1,1
493,1,0,1,8,1,1,38,43,1,1
199,4,0,8,19,0,1,36,37,0,0
293,1,1,1,25,1,0,29,37,0,0
427,1,3,3,16,0,0,48,48,1,0
165,3,1,5,17,0,0,27,35,1,0
451,4,0,7,19,1,0,20,77,1,1
301,2,2,8,23,0,1,39,66,0,1
364,1,3,10,18,0,0,38,30,1,0
422,2,0,7,10,0,0,21,90,1,1
103,1,2,3,18,1,0,24,37,0,0
255,4,3,8,13,0,0,14,75,1,1
488,2,3,7,12,0,0,46,8,1,0
412,4,0,4,18,0,1,12,89,1,1
263,3,1,4,19,1,1,40,3,1,1
151,4,0,6,24,0,0,16,46,0,0
121,1,0,6,8,0,0,38,20,0,0
310,3,2,1,20,1,0,18,9,1,0
342,3,2,1,25,0,1,17,39,0,0
70,3,2,6,14,1,0,20,18,0,0
60,1,0,7,18,1,0,28,1,0,0
232,4,0,9,9,0,1,39,35,1,1
116,3,2,5,23,1,1,27,82,0,1
337,4,2,4,19,0,1,47,5,0,0
472,4,1,3,13,1,1,22,1,1,1
420,4,1,5,8,0,1,29,58,1,1
287,3,0,5,5,1,0,41,62,1,1
221,1,0,2,14,1,1,25,87,1,1
241,1,0,8,10,0,0,32,69,0,0
494,1,0,5,12,0,0,45,77,1,1
97,2,3,7,17,1,0,10,52,1,0
467,2,2,5,23,1,0,28,75,1,1
122,2,2,5,24,1,0,24,43,0,0
478,4,0,10,24,1,0,44,40,1,0
257,1,2,4,8,0,1,37,3,0,0
377,2,3,10,21,0,1,42,20,1,1
85,1,3,2,18,1,0,11,75,1,1
50,3,0,1,20,0,1,32,53,1,1
339,4,1,7,18,1,0,23,15,1,0
379,4,3,4,12,1,1,29,27,1,1
448,1,0,7,12,1,1,39,63,1,1
81,3,2,5,17,1,0,46,33,1,0
386,3,1,3,15,1,0,34,16,0,0
329,2,1,7,17,0,0,40,15,0,0
354,4,3,3,17,0,1,25,62,1,1
201,3,1,5,11,0,1,28,31,1,1
291,2,0,7,6,1,0,47,84,1,1
220,2,1,3,12,0,1,28,9,0,0
335,1,3,8,23,0,1,17,65,1,1
500,2,0,3,22,1,1,38,11,1,1
359,4,1,10,8,0,0,41,66,0,0
360,2,1,2,13,1,0,19,57,0,0
364,3,2,4,17,1,1,37,18,0,0
483,2,2,7,16,0,1,22,48,1,1
188,3,0,1,25,1,1,30,12,0,0
76,2,0,9,5,0,0,12,85,0,0
158,3,1,7,6,0,1,19,75,1,1
461,1,3,4,19,1,0,11,44,1,0
141,3,3,9,20,1,0,15,8,1,0
234,4,0,1,12,0,1,18,7,0,0
208,4,3,4,19,0,0,14,1,1,0
280,3,3,4,12,0,1,13,60,1,1
60,1,3,4,12,0,0,29,55,0,0
422,1,1,5,23,1,1,23,51,1,1
124,2,2,8,21,0,0,29,53,0,0
62,4,1,3,11,1,1,44,61,1,1
300,4,3,9,24,1,0,29,89,0,0
343,1,1,3,11,1,1,26,31,0,0
259,4,1,10,14,0,1,50,54,0,0
73,4,2,4,20,1,0,44,46,1,0
360,2,1,1,9,0,0,35,8,0,0
391,2,1,1,8,1,0,22,50,0,0
344,4,3,9,19,1,1,28,62,0,1
320,1,1,3,13,0,0,12,14,1,0
173,4,0,5,22,0,1,10,47,0,0
67,2,2,7,6,0,0,22,15,0,0
294,3,0,6,23,0,1,32,29,1,1
199,1,0,3,18,0,1,19,20,1,1
397,1,1,10,19,1,1,12,65,0,1
284,1,3,8,25,0,1,23,84,1,1
352,2,2,5,13,1,0,32,10,1,0
487,2,0,1,6,1,1,30,8,1,1
332,1,3,6,16,0,1,27,60,0,0
237,2,0,1,10,0,0,39,11,1,0
227,3,0,1,22,0,1,43,2,0,0
407,1,3,1,25,0,1,23,68,1,1
473,2,3,7,6,0,1,42,72,1,1
65,4,3,2,5,0,0,50,32,0,0
416,3,1,6,24,1,1,38,55,1,1
335,1,1,2,7,0,1,21,48,1,1
316,4,1,9,24,1,0,36,66,1,1
160,2,3,2,9,1,1,18,48,0,0
145,4,2,1,10,1,1,16,4,0,0
88,4,1,6,6,0,1,23,57,0,0
99,2,0,4,25,0,1,43,74,1,1
374,4,0,9,11,1,0,22,28,1,0
414,2,1,10,18,1,0,15,66,1,1
217,1,3,2,15,0,0,15,71,0,0
85,2,1,6,5,1,1,29,89,0,1
316,2,1,5,14,0,0,28,79,0,0
178,3,3,8,8,0,1,42,67,0,1
326,4,2,7,8,0,1,33,20,0,0
269,3,1,4,16,0,0,36,50,1,0
91,1,3,1,18,1,1,46,48,1,1
234,4,3,2,24,1,1,44,59,1,1
397,3,3,8,18,0,0,28,76,0,0
214,1,2,9,13,0,0,42,89,0,0
201,1,0,9,13,1,1,10,57,1,1
188,2,2,4,18,1,0,46,56,1,0
457,3,1,6,19,1,0,15,52,1,0
301,4,0,3,23,0,1,27,51,1,1
68,1,1,4,20,0,1,27,72,1,1
71,1,1,2,17,0,0,13,47,0,0
161,1,0,1,14,1,1,17,64,0,1
89,2,2,5,23,1,1,42,71,1,1
333,3,2,2,6,0,0,19,73,1,1
87,1,2,8,22,1,0,35,2,0,0
197,3,2,9,24,1,0,40,49,0,0
481,2,0,1,20,1,0,29,8,1,0
180,1,3,8,21,0,1,31,45,0,0
230,1,0,7,6,1,1,26,13,1,1
480,3,1,9,25,0,1,42,81,1,1
209,1,3,4,21,1,1,16,20,0,0
202,4,0,5,23,1,0,37,78,1,1
301,1,3,10,17,0,0,35,7,0,0
173,1,2,7,22,1,0,23,42,0,0
413,1,1,4,16,0,1,13,5,1,1
454,4,3,1,5,0,0,23,17,1,0
435,4,0,4,6,0,1,17,0,1,1
347,4,0,4,16,1,1,10,21,0,0
178,2,0,6,16,0,0,37,7,0,0
171,4,0,7,19,0,1,25,74,0,1
125,1,1,5,12,1,0,19,48,1,0
171,2,0,4,19,0,0,12,14,0,0
341,2,3,4,20,0,1,31,17,0,0
160,3,0,6,24,0,0,39,6,1,0
321,1,1,9,11,1,0,33,16,0,0
246,4,3,9,15,1,0,17,82,1,1
204,1,2,5,14,1,0,24,16,0,0
441,1,2,9,12,1,1,45,11,1,1
354,2,2,2,14,1,1,11,59,0,0
498,2,3,10,19,1,0,14,55,1,0
303,3,3,9,5,1,1,14,49,0,0
255,1,2,9,20,1,0,50,3,1,0
137,1,1,3,24,0,1,38,60,1,1
174,4,0,2,15,0,0,34,71,1,1
108,1,0,2,19,0,1,44,59,0,0
298,4,3,3,21,1,1,18,2,1,1
462,2,3,9,18,0,1,11,80,1,1
382,4,2,7,18,0,1,28,87,0,1
275,4,2,8,23,0,1,18,24,0,0
442,3,0,7,21,0,0,26,43,1,0
269,4,2,6,8,0,0,28,58,0,0
474,3,1,1,21,1,0,50,87,1,1
274,2,1,6,9,1,0,32,23,0,0
298,4,2,3,8,1,1,35,31,1,1
476,3,2,7,9,0,0,36,8,1,0
216,1,0,9,18,1,1,10,0,0,0
269,4,0,8,17,1,1,16,37,0,0
112,1,0,4,12,1,0,18,37,1,0
474,2,0,10,22,1,0,48,35,1,0
179,2,0,5,16,0,0,16,2,1,0
177,3,0,9,24,1,0,28,14,1,0
297,2,0,3,6,1,0,23,53,0,0
84,2,1,4,15,1,1,38,61,0,1
280,2,3,5,23,0,0,10,28,0,0
146,1,1,3,22,0,1,25,16,0,0
484,1,1,2,16,1,0,31,24,1,0
327,1,2,1,13,1,1,14,5,0,0
295,3,1,1,25,1,0,29,49,0,0
435,4,3,8,13,0,0,37,34,1,0
229,3,3,9,14,1,0,38,48,0,0
76,3,0,10,7,0,0,17,21,1,0
426,3,2,8,18,1,1,24,0,1,1
193,3,3,5,21,0,1,35,50,1,1
493,3,1,4,7,1,1,39,82,1,1
419,1,1,1,24,1,1,30,26,1,1
358,3,1,1,11,0,1,45,19,1,1
392,2,1,6,22,1,1,29,78,0,1
474,4,2,5,18,1,0,11,30,1,0
251,1,3,4,6,1,0,39,58,1,0
424,2,3,4,22,0,0,39,17,1,0
174,3,2,4,12,1,0,15,72,0,0
272,1,3,2,15,0,1,14,85,0,1
65,4,0,6,21,1,1,34,45,1,1
126,1,0,1,10,0,1,37,55,0,0
73,3,2,6,8,0,1,18,39,1,1
322,4,1,7,5,0,0,26,81,1,1
380,1,1,3,23,0,1,15,77,1,1
228,1,2,9,21,0,1,35,58,1,1
381,3,1,10,6,1,0,27,36,0,0
162,1,0,2,17,0,0,26,15,1,0
59,4,0,9,18,0,0,50,62,0,0
376,4,2,6,6,0,1,22,19,0,0
315,1,0,6,5,1,1,24,24,1,1
348,3,2,7,21,1,1,13,88,1,1
377,4,2,3,11,0,0,47,81,0,0
430,3,0,7,13,0,1,10,35,1,1
173,1,3,7,8,0,0,44,86,0,0
187,1,3,2,21,0,1,10,89,0,1
284,1,3,10,21,1,1,12,31,1,1
242,2,1,1,8,0,0,23,83,1,1
392,2,1,8,12,1,0,47,47,1,0
142,3,0,9,18,0,1,41,74,1,1
450,2,1,3,12,0,1,26,43,1,1
456,1,1,3,12,1,1,49,53,1,1
245,2,0,8,8,1,1,40,0,1,1
479,1,0,10,18,0,0,40,65,1,1
316,3,0,1,19,1,0,42,17,0,0
281,1,1,5,22,0,1,34,89,1,1
453,3,3,8,20,1,1,47,76,1,1
268,2,2,5,8,0,1,50,69,1,1
247,1,0,5,17,1,0,50,33,0,0
229,2,1,8,23,1,1,23,42,1,1
322,2,3,3,22,1,1,20,43,0,0
439,2,2,6,25,1,1,11,25,1,1
129,4,3,5,10,1,1,40,39,1,1
477,3,3,10,18,0,0,46,13,1,0
79,2,1,7,5,1,1,14,38,0,0
470,4,1,8,11,1,1,42,53,1,1
316,3,0,5,12,0,0,36,27,0,0
452,4,2,4,20,1,1,39,75,1,1
140,4,2,7,20,0,1,15,31,0,0
238,3,1,2,24,0,1,45,57,0,0
131,4,0,1,5,1,0,45,89,1,1
84,3,3,9,14,1,1,43,77,1,1
483,4,3,9,8,0,0,17,45,1,0
138,4,0,3,17,1,1,41,79,0,1
158,4,0,10,15,1,1,30,23,0,0
266,1,2,6,24,1,0,38,65,1,1
53,3,0,3,12,1,1,20,62,1,1
424,4,1,5,19,0,1,30,88,1,1
269,1,2,7,22,0,1,29,84,1,1
99,4,2,6,9,1,0,50,57,0,0
492,2,0,5,10,0,0,40,20,1,0
466,1,3,10,6,0,0,13,44,1,0
228,1,2,8,18,0,0,29,84,1,1
264,3,3,4,7,0,0,29,54,1,0
58,2,2,3,10,0,1,31,21,1,1
458,3,3,9,21,0,0,15,3,1,0
59,2,3,6,9,1,1,43,72,0,0
183,3,2,3,17,1,1,25,69,0,1
466,1,3,3,17,1,0,28,44,1,0
400,2,1,9,17,1,1,42,85,1,1
99,2,1,5,20,0,0,39,16,1,0
233,3,3,8,22,1,1,35,48,0,0
317,4,1,2,12,0,0,34,38,0,0
115,3,2,8,23,1,0,23,16,0,0
246,1,2,8,6,0,0,34,41,1,0
129,1,1,4,13,1,0,35,75,1,1
376,3,1,9,10,1,1,36,49,1,1
211,2,0,10,23,1,0,28,65,0,0
238,1,0,9,5,0,0,26,90,0,0
432,4,0,9,15,1,1,18,24,1,1
293,4,2,5,24,0,0,25,41,0,0
422,2,0,6,9,1,0,25,22,1,0
497,3,3,8,22,1,1,49,24,1,1
124,1,1,8,21,1,1,10,23,0,0
488,3,2,5,20,1,1,40,50,1,1
486,2,2,5,5,1,0,21,8,1,0
451,2,2,10,8,1,1,28,70,1,1
298,3,3,8,16,1,0,31,38,0,0
310,4,0,9,12,0,1,22,46,0,0
489,3,1,7,10,1,1,40,10,1,1
209,4,3,3,22,0,1,43,20,1,1
352,4,0,7,10,0,0,46,69,1,1
415,4,3,4,7,1,0,37,64,1,1
213,2,3,7,5,0,0,20,79,1,1
80,2,1,8,8,0,0,13,6,0,0
468,1,2,5,6,1,1,32,68,1,1
326,2,2,10,7,0,0,30,58,1,0
441,4,1,3,12,0,0,34,41,1,0
181,4,1,1,7,0,1,32,87,0,1
372,2,2,6,8,0,0,35,71,0,0
347,3,2,7,6,0,0,17,19,1,0
166,4,2,4,15,0,1,50,53,1,1
104,1,2,3,24,1,1,21,36,1,1
418,4,2,6,23,0,0,14,45,1,0
168,4,3,6,21,1,0,38,30,0,0
480,4,3,8,5,1,0,45,8,1,0
128,2,1,9,19,0,0,24,38,1,0
200,1,3,6,21,1,0,44,46,0,0
275,2,0,2,19,1,1,14,49,0,0
182,3,1,1,8,1,0,11,2,1,0
213,3,3,7,18,1,0,49,46,0,0
327,2,3,8,18,0,0,14,47,0,0
373,4,1,9,17,0,0,32,46,1,0
248,1,1,9,9,0,1,41,86,0,1
306,4,2,9,9,0,1,40,52,0,0
240,1,0,5,19,0,0,38,1,1,0
366,1,1,4,22,0,0,21,8,0,0
333,3,2,6,23,1,1,49,2,0,0
115,2,0,9,24,1,0,50,18,1,0
226,4,3,4,22,1,0,41,10,0,0
383,4,1,8,5,1,1,17,61,0,1
404,4,2,2,17,0,0,20,28,1,0
95,4,2,4,20,1,1,44,58,1,1
239,4,0,5,24,0,0,31,64,0,0
168,4,1,4,25,1,0,28,52,1,0
453,2,3,6,6,0,1,41,31,1,1
115,4,2,2,17,1,1,39,78,1,1
218,2,2,5,24,0,1,44,26,1,1
375,4,1,3,15,0,1,16,31,1,1
468,1,1,2,8,1,1,31,63,1,1
221,4,0,1,8,1,1,43,11,0,0
274,1,0,5,13,0,1,18,75,0,1
268,3,2,3,24,1,1,41,45,1,1
423,1,3,6,5,1,1,27,80,1,1
343,2,1,8,18,1,1,39,41,0,0
289,4,2,10,23,1,1,49,12,0,0
369,3,3,2,5,0,1,34,69,0,1
451,3,1,8,24,0,1,24,63,1,1
217,2,0,2,7,0,1,47,58,1,1
451,2,0,1,16,1,1,38,30,1,1
306,1,2,2,8,0,1,48,14,0,0
310,3,1,2,24,0,1,29,59,0,0
66,4,3,8,7,1,1,21,54,0,0
387,4,1,2,14,1,0,48,31,0,0
470,2,2,8,24,1,1,14,29,1,1
268,2,0,8,25,1,0,25,22,0,0
456,1,0,4,25,1,0,34,18,1,0
271,3,1,6,10,0,0,19,19,0,0
462,4,1,3,20,0,1,21,14,1,1
80,2,1,1,22,0,0,31,57,0,0
190,2,1,9,11,1,1,25,43,0,0
485,2,0,5,12,1,0,44,53,1,0
266,1,2,10,15,1,1,41,20,1,1
224,1,3,8,19,0,1,42,74,1,1
312,2,2,7,16,0,0,33,48,1,0
136,4,3,7,9,1,0,41,3,1,0
385,1,2,1,25,0,1,37,65,1,1
215,1,3,4,19,1,0,49,27,1,0
305,1,2,7,20,0,0,11,44,1,0
134,1,2,10,17,0,1,36,12,1,1
280,1,3,4,25,0,0,26,41,1,0
340,3,3,3,21,0,1,48,78,1,1
480,2,0,3,21,1,0,28,20,1,0
154,2,0,2,10,0,0,32,36,0,0
254,3,3,9,17,0,1,14,29,0,0
303,4,3,2,23,0,1,37,40,0,0
287,3,2,6,21,1,0,21,35,0,0
331,4,2,9,6,0,1,43,14,0,0
119,2,3,8,9,0,1,14,60,1,1
446,4,2,10,18,0,0,12,76,1,1
59,2,0,7,16,0,1,50,88,0,0
238,3,1,3,14,0,1,49,34,0,0
155,1,3,2,22,1,0,42,88,1,1
475,4,1,9,11,0,0,14,65,1,1
348,3,3,5,14,0,0,13,51,0,0
311,1,0,7,5,0,1,12,88,0,1
416,4,3,2,12,0,0,14,47,1,0
468,2,0,10,7,0,0,20,2,1,0
288,1,3,6,23,0,1,47,13,1,1
478,2,0,9,7,0,0,17,22,1,0
297,4,3,7,10,1,1,11,32,0,0
317,1,0,2,9,1,0,17,17,0,0
127,3,3,5,15,1,0,35,22,0,0
63,3,2,5,16,0,0,20,38,0,0
477,1,0,7,11,1,1,45,20,1,1
498,1,1,1,9,0,1,18,44,1,1
437,4,0,4,22,1,1,12,43,1,1
374,1,0,8,11,0,1,22,25,1,1
463,2,1,5,11,0,1,36,60,1,1
117,4,2,9,14,0,0,34,70,0,0
452,2,2,9,23,0,1,43,42,1,1
294,4,2,6,21,1,1,44,21,1,1
464,2,0,4,18,0,1,17,48,1,1
375,2,3,2,14,1,0,35,70,1,1
300,3,2,1,16,1,1,28,81,1,1
264,1,2,4,20,0,1,30,39,1,1
452,1,0,5,19,1,1,21,64,1,1
113,2,1,5,15,1,1,43,77,0,1
155,1,0,10,7,0,1,21,39,1,1
439,4,0,5,22,1,0,23,90,1,1
50,2,3,7,17,0,1,43,32,1,1
462,3,1,5,25,0,1,45,45,1,1
491,1,2,4,10,1,1,37,46,1,1
404,4,1,5,20,0,1,45,66,1,1
477,1,3,8,25,0,0,36,80,1,1
405,4,1,1,5,0,0,13,52,1,0
485,3,0,6,14,0,1,30,19,1,1
164,3,1,3,21,1,0,32,16,0,0
398,3,0,4,14,1,0,26,40,1,0
305,4,1,2,10,1,0,31,73,1,1
438,2,1,8,18,1,0,22,72,1,1
169,1,2,8,7,0,0,41,39,1,0
493,1,2,5,6,1,1,14,2,1,1
443,2,1,10,20,1,0,28,69,1,1
169,4,2,9,23,0,1,36,12,0,0
438,2,1,5,7,0,0,12,11,1,0
475,1,0,6,18,1,0,38,33,1,0
277,3,0,1,23,1,1,40,47,1,1
302,2,0,1,21,1,0,25,87,1,1
190,2,2,4,8,1,1,12,1,0,0
335,1,1,7,17,0,0,45,22,1,0
466,3,1,9,17,1,0,30,55,1,0
177,2,1,9,8,1,0,25,2,1,0
62,4,2,2,24,0,0,39,47,1,0
373,4,3,9,15,1,0,38,47,1,0
175,4,2,7,7,0,0,13,19,0,0
219,3,3,1,8,0,1,33,77,0,1
52,2,3,6,24,1,0,31,45,0,0
410,1,2,6,12,1,0,43,52,1,0
464,4,2,3,11,1,0,49,84,1,1
328,4,3,10,14,1,0,23,47,0,0
258,1,3,3,17,1,1,11,44,0,0
447,4,2,4,17,0,0,17,70,1,1
357,1,0,1,19,0,1,10,21,0,0
59,3,1,2,5,1,0,44,52,1,0
117,3,0,4,21,0,0,39,20,1,0
363,2,0,5,11,1,0,19,83,0,0
475,2,2,4,14,0,0,26,48,1,0
110,2,2,6,10,0,0,21,90,1,1
203,3,0,4,24,1,1,47,20,0,0
224,2,1,4,17,0,1,27,50,0,0
239,3,1,4,20,0,0,24,15,0,0
111,2,1,6,9,1,0,17,81,1,1
284,3,3,3,6,1,1,17,16,0,0
218,1,0,5,5,0,0,28,30,1,0
212,4,0,10,12,0,1,19,18,1,1
321,2,3,8,18,0,0,28,66,0,0
119,3,0,1,19,1,1,24,83,1,1
208,3,3,9,20,0,1,21,44,1,1
178,4,0,6,16,1,0,15,29,0,0
376,3,1,6,20,0,0,32,26,1,0
98,2,2,1,16,0,0,43,15,0,0
72,1,2,10,22,0,0,32,44,1,0
458,3,3,2,8,0,1,38,82,1,1
397,1,1,10,11,0,1,40,13,0,0
276,2,3,8,10,0,1,24,18,1,1
304,3,3,6,18,0,1,13,64,0,1
434,2,2,6,19,1,0,49,37,1,0
302,4,2,8,9,1,1,23,11,0,0
479,2,1,5,19,0,1,30,73,1,1
459,4,3,3,10,0,1,35,37,1,1
407,4,3,6,11,1,1,44,44,1,1
138,4,0,4,18,0,1,36,82,1,1
227,2,2,9,7,1,1,31,44,0,0
411,1,3,4,24,0,1,23,50,1,1
364,4,0,3,10,0,1,13,73,1,1
67,4,1,10,6,0,1,20,56,1,1
133,4,0,4,17,1,0,26,74,1,1
